GENE 1	15.1-42.0 	77.6-83.4 	31.6-91.5 
GENE 2	32.2-83.5 	64.5-86.6 	28.9-37.4 
GENE 3	29.4-30.5 	84.6-80.7 	57.7-32.3 
GENE 4	82.3-86.6 	91.4-31.3 	33.6-59.5 
GENE 5	29.7-56.7 	32.8-89.0 	30.5-79.7 
GENE 6	80.6-79.7 	80.7-28.5 	61.5-32.5 
GENE 7	76.5-54.5 	28.6-78.5 	80.3-29.5 
GENE 8	80.5-32.2 	30.2-42.4 	83.7-86.4 
GENE 9	31.8-33.4 	54.5-28.5 	55.8-81.6 
GENE 10	87.6-62.7 	63.7-29.3 	84.9-27.9 
GENE 11	89.8-33.9 	66.3-35.8 	35.1-88.3 
GENE 12	83.8-59.3 	94.7-28.7 	58.5-59.8 
GENE 13	88.3-85.7 	55.7-29.8 	55.4-69.8 
GENE 14	54.6-64.7 	83.6-83.9 	84.7-91.6 
GENE 15	55.6-83.5 	56.3-78.7 	63.6-60.3 
GENE 16	30.5-58.4 	30.8-81.6 	57.6-65.9 
GENE 17	82.7-66.4 	58.5-82.8 	30.4-81.9 
GENE 18	80.8-53.5 	87.8-57.8 	65.7-55.4 
GENE 19	81.6-79.8 	55.5-58.5 	82.8-90.6 
GENE 20	55.5-87.6 	62.4-58.5 	63.9-61.9 
GENE 21	30.5-80.4 	27.6-28.6 	29.7-32.8 
GENE 22	31.5-54.5 	54.3-27.6 	53.7-55.7 
GENE 23	32.5-62.3 	54.6-80.3 	27.9-54.7 
GENE 24	26.8-55.6 	28.6-79.7 	79.3-52.3 
GENE 25	81.6-52.7 	89.8-53.3 	54.5-77.2 
GENE 26	54.6-78.7 	82.6-82.6 	30.4-83.4 
GENE 27	52.3-56.6 	81.6-55.3 	55.4-82.6 
GENE 28	53.5-80.5 	54.5-55.3 	78.3-54.5 
GENE 29	88.5-27.5 	54.5-53.8 	57.5-76.8 
GENE 30	93.6-54.4 	84.8-32.6 	82.9-55.7 
GENE 31	55.9-56.7 	31.7-87.8 	83.5-52.3 
GENE 32	54.7-57.6 	77.8-53.6 	62.8-77.5 
GENE 33	79.9-82.5 	56.3-82.7 	83.6-53.3 
GENE 34	78.5-79.8 	53.7-83.4 	65.8-54.6 
GENE 35	33.6-78.3 	79.6-77.5 	52.3-76.7 
GENE 36	78.6-55.6 	27.5-36.3 	52.4-79.5 
GENE 37	54.9-54.9 	59.5-61.8 	57.8-83.8 
GENE 38	51.6-78.3 	81.8-52.3 	56.6-58.5 
GENE 39	31.7-77.8 	54.7-81.6 	82.7-31.7 
GENE 40	53.6-30.5 	56.6-79.4 	33.4-56.7 
GENE 41	56.3-28.5 	54.5-79.5 	55.5-80.7 
GENE 42	53.7-53.5 	78.5-55.6 	58.8-55.3 
GENE 43	77.5-27.5 	50.3-76.4 	78.4-52.4 
GENE 44	80.5-55.3 	57.7-80.8 	55.5-94.5 
GENE 45	26.4-55.3 	77.7-52.4 	56.4-55.7 
GENE 46	82.5-83.7 	83.8-99.5 	57.3-28.5 
GENE 47	28.4-53.1 	81.4-86.6 	80.5-85.4 
GENE 48	52.5-54.6 	84.7-54.7 	58.6-54.7 
GENE 49	80.4-80.6 	93.7-27.5 	57.6-81.5 
GENE 50	53.7-28.5 	54.5-81.6 	62.7-62.2 
GENE 51	77.3-55.5 	37.4-56.8 	71.9-55.4 
GENE 52	65.4-53.3 	30.5-56.5 	55.4-53.5 
GENE 53	60.6-58.5 	56.6-29.6 	53.3-27.8 
GENE 54	60.5-56.8 	31.8-52.6 	84.8-54.6 
GENE 55	57.5-91.8 	84.3-84.6 	28.5-80.7 
GENE 56	33.5-82.6 	55.4-83.6 	31.8-30.5 
GENE 57	80.5-58.5 	82.8-55.4 	29.7-53.3 
GENE 58	56.8-58.3 	30.5-55.4 	78.4-55.5 
GENE 59	53.6-64.8 	52.4-79.4 	75.5-52.5 
GENE 60	43.3-31.5 	57.6-32.8 	37.8-49.7 
GENE 61	56.4-83.6 	32.6-56.5 	82.6-54.5 
GENE 62	53.5-60.6 	53.8-84.7 	80.4-60.3 
GENE 63	57.6-28.5 	34.3-81.7 	60.4-79.7 
GENE 64	83.5-55.4 	77.5-86.7 	54.4-60.6 
